5cm,0,2,2,1,1,2,2,412
5cn,0,2,3,0,1,2,2,440
5co,1,1,1,2,2,1,2,587
5cp,1,1,1,2,3,0,2,589
5cq,1,1,1,2,3,1,1,590
5cr,1,1,1,2,2,2,1,595
5cs,1,1,1,2,3,1,1,597
5ct,1,1,1,2,3,2,0,598
5cu,1,1,2,1,3,1,1,604
5cv,1,1,1,2,4,0,1,613
5cw,1,1,1,2,4,1,0,614
5cx,1,1,1,2,1,2,2,651
5cy,1,1,1,2,2,1,2,653
5cz,1,1,1,2,2,2,1,654
5da,1,1,1,2,1,3,1,659
5db,1,1,1,2,2,2,1,661
5dc,1,1,1,2,2,3,0,662
5dd,1,1,2,1,1,2,2,665
5de,1,1,2,1,1,3,1,666
5df,1,1,2,1,2,2,1,668
5dg,1,1,2,1,2,1,2,681
5dh,1,1,2,1,2,2,1,682
5di,1,1,2,1,3,1,1,684
5dj,1,1,2,1,2,2,1,689
5dk,1,1,2,1,2,3,0,690
5dl,1,1,2,1,3,2,0,692
5dm,1,2,1,1,2,1,2,713
5dn,1,2,1,1,2,2,1,714
5do,1,2,1,1,3,1,1,716
5dp,1,1,1,2,1,1,3,779
5dq,1,1,1,2,2,0,3,781
5dr,1,1,1,2,2,1,2,782
5ds,1,1,2,1,1,1,3,793
5dt,1,1,2,1,1,2,2,794
5du,1,1,2,1,2,1,2,796
5dv,1,1,2,1,2,0,3,809
5dw,1,1,2,1,2,1,2,810
5dx,1,1,2,1,3,0,2,812
5dy,1,1,1,2,0,3,2,1163
5dz,1,1,1,2,1,2,2,1165
5ea,1,1,1,2,1,3,1,1166
5eb,1,1,1,2,0,4,1,1171
5ec,1,1,1,2,1,3,1,1173
5ed,1,1,1,2,1,4,0,1174
5ee,1,2,1,1,1,2,2,1225
5ef,1,2,1,1,1,3,1,1226
5eg,1,1,1,2,0,2,3,1291
5eh,1,1,1,2,1,1,3,1293
5ei,1,1,1,2,1,2,2,1294
5ej,1,1,2,1,0,2,3,1305
5ek,1,1,2,1,0,3,2,1306
5el,1,1,2,1,1,1,3,1321
5em,1,1,2,1,1,2,2,1322
5en,2,1,1,1,1,1,3,1801
5eo,1,1,1,2,0,1,4,2315
5ep,1,1,1,2,1,0,4,2317
6aa,0,0,3,3,2,2,2,63
6ab,0,1,2,3,2,2,2,95
6ac,0,1,2,3,3,1,2,111
6ad,0,1,2,3,3,2,1,119
6ae,0,1,3,2,2,2,2,123
6af,0,1,3,2,3,1,2,125
6ag,0,1,3,2,3,2,1,126
6ah,0,1,2,3,1,3,2,159
6ai,0,1,2,3,2,2,2,175
6aj,0,1,2,3,2,3,1,183
6ak,0,1,3,2,1,3,2,187
6al,0,1,3,2,2,2,2,189
6am,0,1,3,2,2,3,1,190
6an,0,2,1,3,2,2,2,207
6ao,0,2,2,2,1,3,2,219
6ap,0,2,2,2,2,2,2,221
6aq,0,2,2,2,2,3,1,222
6ar,0,2,2,2,2,2,2,235
6as,0,2,2,2,3,1,2,237
6at,0,2,2,2,3,2,1,238
6au,0,2,2,2,2,3,1,243
6av,0,2,2,2,3,2,1,245
